id,source,physical_page,printed_page,item,content_and_conditions,current_web,gap,decision,new_location,confirmation,public_locations,implementation_treatment,implementation_detail
B11.08,パンフレット0723,11,18–19,タイル施工範囲,旧仕様の2坪と部位は最新版に未統一。全外構を含むとしない,PC06/SP10 内装,範囲を別途確定,保留,P29・P31,Q12,#catalog-compare-interior / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B12.01,パンフレット0723,12,20–21,玄関ドアの形式,LIXILジエスタ2。花は親子扉、京・風は片開き,PC07/SP11 玄関外装,形式差は最終短文のみ,採用,P17・P30,原資料照合済み。公開時の採用版確認は共通,#catalog-entrance / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B12.02,パンフレット0723,12,20–21,花FACE,顔認証AC100V。FACE/タッチボタン/Tebra等の組合せ図。単独・二認証は実設定で確認,PC07/SP11 玄関外装,機能と電源条件なし,採用,P17・P20,Q13,#catalog-entrance / #catalog-smart,基礎説明を掲載／追加条件を保留,FACEの用途・電源・登録を掲載。二認証の設定・同梱物は非掲載。
B12.03,パンフレット0723,12,20–21,京・風FamiLock,スマホまたはタグで解錠。付属タグ3・オーナーキー1・手動キー4、電池式は採用品と照合,PC07/SP11 玄関外装,使い方・同梱物・電源がない,採用,P17・P20,Q13,#catalog-entrance / #catalog-smart,基礎説明を掲載／追加条件を保留,FamiLockの操作・登録と手動キーを掲載。同梱数は非掲載。
B12.04,パンフレット0723,12,20–21,玄関ドアデザイン,掲載18種と写真色：G14/G15=クリエダーク、M12=トリノパイン、M22=クリエペール、M24=トリノパイン、M26=グレイッシュオーク、M13=クリエアイボリー、M14=クリエモカ、M16=クリエダーク、M27=クリエペール、M28=ミディアムチェリー、P12=アイリッシュパイン、M17=ナチュラルホワイト、M21=ゼンオーク、P16=アンティークオーク、D11=ポートマホガニー、D41/C12=エクリュアイボリー。写真色と下の色一覧の対応も採用品版で照合,PC07/SP11 玄関外装,型一覧なし,採用,P17 デザイン帳,Q04,#catalog-entrance,基礎説明を掲載／追加条件を保留,18デザインの候補名を掲載。写真と色の不整合は未確定として対応付けを非掲載。
B12.05,パンフレット0723,12,20–21,玄関ドア色柄,紙面の17色：クリエアイボリー、グレイッシュオーク、クリエペール、クリエラスク、ミディアムチェリー、クリエモカ、ブラックウォールナット、ゼンオーク、クリエダーク、トリノパイン、シャンパンレッド、パールブルー、マットブラック、ナチュラルホワイト、ポリッシュシルバー、シャイングレー、オータムブラウン。個別ドア写真には一覧外の色名もあるため現行選択可能性を照合,PC07/SP11 玄関外装,色一覧なし,採用,P17 色柄帳,Q04,#catalog-entrance,基礎説明を掲載／追加条件を保留,17色の候補名を掲載。全デザインで全色選べるとは表示しない。
B12.06,パンフレット0723,12,20–21,Ring防犯ドアホンPro,4K・広角・動作検知・サイレン・双方向通話・スマホ連携・屋外IP65という掲載機能,PC07/SP11 玄関外装,玄関写真だけでは伝わらない,採用,P20,Q13,#catalog-smart,基礎説明を掲載／追加条件を保留,来客の確認・応答と接続条件を掲載。型番Pro・4K・IP65・サイレンは採用機種照合待ちとして非掲載。
B12.07,パンフレット0723,12,20–21,クラウド録画と接続条件,録画契約、Wi-Fi、対応端末/Alexa、電源工事、通信障害時の機能を確認,PC07/SP11 玄関外装,無料無制限・接続済みと誤認させない,保留,P20・P31,Q13,#catalog-smart / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B12.08,パンフレット0723,12,20–21,メーカー希望小売の注記,商品代と施工費別というメーカー汎用注記をやまと価格に置換しない,PC07/SP11 玄関外装,現在の建物価格との区別を明記,統合,P31 価格範囲,Q09,#catalog-conditions,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B13.01,パンフレット0723,13,22–23,ヘーベルパワーボード,ALC37mm。比較の16mmサイディングは一例,PC07/SP11 玄関外装,外壁接写のみで材質・厚さがわからない,採用,P18・P30,原資料照合済み。公開時の採用版確認は共通,#catalog-exterior / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B13.02,パンフレット0723,13,22–23,断熱・遮音・防火の仕組み,気泡構造と厚み、外壁としての性能。建物全体の認定ではない,PC07/SP11 玄関外装,図と意味がない,採用,P18,原資料照合済み。公開時の採用版確認は共通,#catalog-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B13.03,パンフレット0723,13,22–23,遮音約30dB・耐火試験,紙面の試験値と試験体図。壁・窓・施工状態に依存,PC07/SP11 玄関外装,原試験条件未取得で数値の一般化は不可,保留,P18 試験条件・P31,Q04,#catalog-exterior / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B13.04,パンフレット0723,13,22–23,期待耐用年数60年,維持管理を前提とする外壁材の説明。60年の無償保証ではない,PC07/SP11 玄関外装,保証年数と混同しない,保留,P18 メンテナンス,Q04,#catalog-exterior,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B13.05,パンフレット0723,13,22–23,純正グランロック塗装,再塗装サイクル20年という紙面比較。立地・施工・点検に依存,PC07/SP11 玄関外装,家全体20年メンテナンス不要とはしない,保留,P18 メンテナンス・P31,Q04,#catalog-exterior / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B13.06,パンフレット0723,13,22–23,外壁施工例と動画導線,実物接写と完成写真。空のQRは載せず、実動画を取得できた時だけリンク,PC07/SP11 玄関外装,実物と材料断面の組合せがない,採用,P18,Q10/Q14,#catalog-exterior,基礎説明を掲載／追加条件を保留,支給外壁写真を掲載。未取得動画・空QRは非掲載。
B14.01,パンフレット0723,14,24–25,サーモスL,アルミと樹脂のハイブリッド、細いフレーム、Low-E複層ガラスの構造,PC07/SP11 玄関外装,窓の商品説明なし,採用,P19・P30,Q05,#catalog-windows / #catalog-compare-exterior,基礎説明を掲載／追加条件を保留,フレームとLow-Eの仕組みを説明。風の構成欠如・全棟一律仕様は非掲載。
B14.02,パンフレット0723,14,24–25,Low-Eと風の表記差,本文は全シリーズ、比較表は風にサーモスL＋シャッター、旧表は防犯ガラス等。風がLow-E無しと断定しない,PC07/SP11 玄関外装,適用範囲の決着が必要,保留,P19・P30,Q05,#catalog-windows / #catalog-compare-exterior,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B14.03,パンフレット0723,14,24–25,アルゴンガス・樹脂スペーサー,オプション表記。標準ガラスと別に提示,PC07/SP11 玄関外装,標準・追加の境界なし,採用,P19 詳細,Q05,#catalog-windows,基礎説明を掲載／追加条件を保留,追加構成として説明。一律標準・実価格は非掲載。
B14.04,パンフレット0723,14,24–25,熱性能の比較数値,2倍、アルゴン30％、樹脂1/1000等は部材と比較条件の話。家全体の省エネ倍率にしない,PC07/SP11 玄関外装,比較条件と採用構成が必要,保留,P19 試験条件・P31,Q05,#catalog-windows / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B14.05,パンフレット0723,14,24–25,開き方の種類,引違い、腰窓、採風勝手口、高所横すべり、上げ下げFS、FIX、縦横すべり、内倒し,PC07/SP11 玄関外装,用途別の窓選びなし,採用,P19 選択帳,原資料照合済み。公開時の採用版確認は共通,#catalog-windows,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B14.06,パンフレット0723,14,24–25,防犯部材,防犯合わせガラス、面格子、カムラッチ、サブロック。設置位置・仕様に依存,PC07/SP11 玄関外装,全部屋一律とはしない,採用,P19 詳細,Q05,#catalog-windows,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B14.07,パンフレット0723,14,24–25,LifeAssist2,風のIoT設備として表示。操作できる機器と追加機器を確認,PC07/SP11 玄関外装,機能説明なし,採用,P20・P30,Q13,#catalog-smart / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B14.08,パンフレット0723,14,24–25,スマート設備の対象整理,FACE花、FamiLock京風、Ring全シリーズの紙面ラベルを相互照合,PC07/SP11 玄関外装,シリーズ別のまとまった説明なし,統合,P17・P20・P30,Q13,#catalog-entrance / #catalog-smart / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B15.01,パンフレット0723,15,26–27,耐震と制振の選択,紙面「耐震 または 制振」。両方全棟標準と断定しない,PC08/SP12–14 性能,現行にも選択注記があるが根拠図・違いがない,採用,P21・P30,Q06,#catalog-earthquake / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B15.02,パンフレット0723,15,26–27,木造軸組と耐力面材,柱・梁・筋交い・面材で力に抵抗する。構造図と実物を並べる,PC08/SP12–14 性能,構造説明なし,採用,P21,原資料照合済み。公開時の採用版確認は共通,#catalog-earthquake,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B15.03,パンフレット0723,15,26–27,耐震等級3相当,相当という限定を必ず残す。第三者認定取得や等級3証明の全棟取得と同義にしない,PC08/SP12–14 性能,表現だけあり意味と証拠がない,採用,P21・P30,Q06,#catalog-earthquake / #catalog-compare-exterior,基礎説明を掲載／追加条件を保留,「相当」と第三者評価の違いを説明。一律認定取得を主張しない。
B15.04,パンフレット0723,15,26–27,筋交い・ホールダウン金物,筋交い倍率2.5等の設計部材値。建物強度全体の倍率ではない,PC08/SP12–14 性能,部位写真なし,採用,P21 詳細,Q06,#catalog-earthquake,基礎説明を掲載／追加条件を保留,接合部材の基本を説明。筋交い2.5倍の数値は非掲載。
B15.05,パンフレット0723,15,26–27,wallstat,全棟、阪神・淡路大震災2回のシミュレーションという紙面説明。入力条件・実施記録を伴う,PC08/SP12–14 性能,短文のみ。実計算画面・条件なし,採用,P21,Q06/Q14,#catalog-earthquake,基礎説明を掲載／追加条件を保留,解析に入力条件と結果が必要な旨を説明。全棟実施・特定地震2回実施・解析動画は未実証として非掲載。
B15.06,パンフレット0723,15,26–27,MIRAIE,制振ダンパーが揺れを吸収する仕組み。展示品実写を使用。採用範囲は別途照合,PC08/SP12–14 性能,接写なし。採用を全棟標準に広げない,採用,P21,Q06,#catalog-earthquake,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B15.07,パンフレット0723,15,26–27,地盤調査と改良,地盤調査、必要な改良を会社が負担する一次メモ。土地・契約対象の条件を確認,PC08/SP12–14 性能,会社負担の対象条件なし,採用,P22・P25・P31,Q09,#catalog-insulation / #catalog-construction / #catalog-conditions,基礎説明を掲載／追加条件を保留,地盤調査と工事範囲を説明。会社負担の全土地適用は非掲載。
B15.08,パンフレット0723,15,26–27,地盤保証会社の差,P27にハウスジーメン、P32に住宅技術協議会など。制度の関係を確認,PC08/SP12–14 性能,同一制度と決め付けない,保留,P26・P31,Q07,#catalog-warranty / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B15.09,パンフレット0723,15,26–27,現場発泡断熱,アクアフォームLITEは比較表で名称確認。施工で隙間を埋める。厚さ・UA/C値は未確認,PC08/SP12–14 性能,説明が商品名に留まる,採用,P22・P30,Q06,#catalog-insulation / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B15.10,パンフレット0723,15,26–27,外壁通気工法,室内からの水分を逃がす層と外壁、躯体、断熱材の位置関係,PC08/SP12–14 性能,断面図なし,採用,P22,原資料照合済み。公開時の採用版確認は共通,#catalog-insulation,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B15.11,パンフレット0723,15,26–27,しろあり初期保証,Jotoしろあり保証10年、最大1000万円という紙面表記。対象構法・制度条件を確認,PC08/SP12–14 性能,年数のみで条件なし,採用,P26 詳細,Q07,#catalog-warranty,基礎説明を掲載／追加条件を保留,しろあり初期10年を掲載。1000万円上限・対象構法の一律適用は非掲載。
B15.12,パンフレット0723,15,26–27,しろあり延長制度,5年ごとの更新、最大30年、延長時の上限金額・費用。小さい印刷値を確定原稿にしない,PC08/SP12–14 性能,継続条件なし,保留,P26 詳細・P31,Q07,#catalog-warranty / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B16.01,パンフレット0723,16,28–29,初回から設計士が同席,希望を直接聞き、敷地・日照・視線・動線を図面へ反映する,PC09/SP15–16 自由設計,現行短文と打合せ写真あり。進め方が省略,採用,P23,原資料照合済み。公開時の採用版確認は共通,#catalog-design,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B16.02,パンフレット0723,16,28–29,自由設計の5手順,敷地確認→要望と現住居の不満→ゾーニング/動線/採光→耐震防災→遊び心と家族らしさ,PC09/SP15–16 自由設計,手順説明なし,採用,P23,原資料照合済み。公開時の採用版確認は共通,#catalog-design,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B16.03,パンフレット0723,16,28–29,間取り1F,家事動線、キッチン、LDK、和室・中庭等の原図。寸法は原図にないものを追加しない,PC09/SP15–16 自由設計,縮小配置のみ。原図292pxでは拡大できない,採用,P24,Q14,#catalog-plans,基礎説明を掲載／追加条件を保留,支給1F図292pxを原寸以下の参考図として掲載。拡大・寸法加筆なし。
B16.04,パンフレット0723,16,28–29,間取り2F,寝室・個室・吹抜け・収納・バルコニーの関係。1Fと共通縮尺で切替,PC09/SP15–16 自由設計,縮小配置のみ。原図303pxで細字不足,採用,P24,Q14,#catalog-plans,基礎説明を掲載／追加条件を保留,支給2F図303pxを原寸以下の参考図として掲載。共通縮尺は認定しない。
B16.05,パンフレット0723,16,28–29,設計士栗野佑也,氏名と住む人の笑顔・家族ごとに合わせた設計の説明。現所属確認を残す,PC09/SP15–16 自由設計,顔・担当者の説明なし,採用,P24,Q11,#catalog-plans,基礎説明を掲載／追加条件を保留,現スタッフページへ集約リンク。現所属再確認未了につき個人紹介の複製はしない。
B16.06,パンフレット0723,16,28–29,設計士岩佐篤志,氏名と観察・要望を設計へ反映する紹介。現所属確認を残す,PC09/SP15–16 自由設計,顔・担当者の説明なし,採用,P24,Q11,#catalog-plans,基礎説明を掲載／追加条件を保留,現スタッフページへ集約リンク。現所属再確認未了につき個人紹介の複製はしない。
B16.07,パンフレット0723,16,28–29,打合せと完成写真,設計の判断が空間にどう現れたか、同じ事例と紐付いた時だけ因果を示す,PC09/SP15–16 自由設計,写真を並べただけで事例の関係が不明,採用,P23–24,Q10,#catalog-design / #catalog-plans,基礎説明を掲載／追加条件を保留,打合せと完成写真を別の実例として表示。同一事例の因果は説明しない。
B17.01,パンフレット0723,17,30–31,工務の4手順,計画の確認打合せ→外壁/床/建具/収納等の選定→現場への共有と提案→材料/位置の検査と是正,PC10/SP17 一貫体制,一貫体制の4語だけで実作業が見えない,採用,P25,原資料照合済み。公開時の採用版確認は共通,#catalog-construction,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B17.02,パンフレット0723,17,30–31,現場写真,図面・材料・施工位置の確認。支給資料の実写と撮影時期を紐付ける,PC10/SP17 一貫体制,現行は水彩コンセプト画で現場の証拠にならない,採用,P25,Q10,#catalog-construction,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B17.03,パンフレット0723,17,30–31,土地からの一貫体制,土地仕入れ・造成・設計・施工・アフターをつなぐ役割と情報の受け渡し,PC10/SP17 一貫体制,単語列から具体的な説明へ,採用,P01・P25,原資料照合済み。公開時の採用版確認は共通,#catalog-introduction / #catalog-construction,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B17.04,パンフレット0723,17,30–31,奈良・京都の地図,事業範囲の図。敷地座標・ルートや現販売区画数の証拠にしない,PC10/SP17 一貫体制,カタログ内で在庫地図を複製しない,統合,P25・P32,原資料照合済み。公開時の採用版確認は共通,#catalog-construction / #catalog-visit,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B17.05,パンフレット0723,17,30–31,200区画以上,紙面の保有区画表現。指示書150・旧216と差があり、現販売数ではない,PC10/SP17 一貫体制,未確認数字を最新値として掲載しない,保留,P25 会社実績,Q11,#catalog-construction,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B18.01,パンフレット0723,18,32–33,建物保証の期間,初期10年、所定条件で10年ごとに有償延長し最長30年,PC11/SP18 保証,現行短文あり。初期・有償延長の図がない,採用,P26・P30,原資料照合済み。公開時の採用版確認は共通,#catalog-warranty / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.02,パンフレット0723,18,32–33,建物保証の対象,構造耐力上主要な部分と雨水の浸入を防止する部分。家の全設備が30年対象ではない,PC11/SP18 保証,対象図なし,採用,P26,原資料照合済み。公開時の採用版確認は共通,#catalog-warranty,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.03,パンフレット0723,18,32–33,延長に必要な条件,指定会社等の点検、必要な有償メンテナンス、所定手続き,PC11/SP18 保証,延長の要件が読み取りづらい,採用,P26 主図の隣,原資料照合済み。公開時の採用版確認は共通,#catalog-warranty,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.04,パンフレット0723,18,32–33,保証上限,新築2000万円/10年間、延長1000万円/10年間の紙面記載。最新約款確認,PC11/SP18 保証,限度額説明なし,保留,P26 詳細・P31,Q07,#catalog-warranty / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B18.05,パンフレット0723,18,32–33,保証対象外,経年劣化・自然災害、他社工事等。保証内容は約款に従う,PC11/SP18 保証,除外条件なし,採用,P26 主文・詳細,Q07,#catalog-warranty,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.06,パンフレット0723,18,32–33,保証の引継ぎ,売却・相続時の引継ぎに所定契約と費用が必要,PC11/SP18 保証,現行に有償の短文あり,採用,P26 詳細,原資料照合済み。公開時の採用版確認は共通,#catalog-warranty,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.07,パンフレット0723,18,32–33,倒産・廃業時,制度に基づく保険金請求の説明。無条件の修繕継続ではない,PC11/SP18 保証,制度説明なし,採用,P26 詳細,Q07,#catalog-warranty,基礎説明を掲載／追加条件を保留,保険期間・責任範囲を含む最新約款の確認待ち。倒産時の保険金請求の追加説明は非掲載。
B18.08,パンフレット0723,18,32–33,地盤保証20年,基礎着工から20年・最大5000万円の紙面。制度名称・約款・対象を確認,PC11/SP18 保証,建物保証との混同を防ぐ,保留,P26・P31,Q07,#catalog-warranty / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B18.09,パンフレット0723,18,32–33,住宅設備保証10年,メーカー保証1～2年を含め計10年、オプション。給湯器/食洗機等の対象機器を確認,PC11/SP18 保証,現行でオプション設備保証が欠落,採用,P26・P30,Q08,#catalog-warranty / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.10,パンフレット0723,18,32–33,短期保証,引渡し後2年等、仕上げ・設備など部位により異なる,PC11/SP18 保証,一律2年としない,採用,P26 詳細,Q07,#catalog-warranty,基礎説明を掲載／追加条件を保留,短期保証は制度・部位ごとと説明。全設備一律2年は非掲載。
B18.11,パンフレット0723,18,32–33,第三者検査,ハウスジーメンの基礎配筋・躯体構造の2回。全施工中の確認総数が2回という意味ではない,PC11/SP18 保証,現行回数あり。対象工程の説明が足りない,採用,P25・P26,原資料照合済み。公開時の採用版確認は共通,#catalog-construction / #catalog-warranty,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.12,パンフレット0723,18,32–33,定期点検の時期,紙面1/5/10/20年、指示書1/5/10/50年。30年まで4回という別説明もある,PC11/SP18 保証,20年か50年かを推測しない,保留,P27・P31,Q07,#catalog-aftercare / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B18.13,パンフレット0723,18,32–33,無料の範囲,無料は定期点検の文脈。水栓交換・補修・清掃等を全て無料としない,PC11/SP18 保証,現行に具体的なサービス範囲なし,採用,P27,原資料照合済み。公開時の採用版確認は共通,#catalog-aftercare,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.14,パンフレット0723,18,32–33,水まわり相談,蛇口水漏れ・臭い・水栓操作・浄水カートリッジなど,PC11/SP18 保証,説明なし,採用,P27,原資料照合済み。公開時の採用版確認は共通,#catalog-aftercare,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.15,パンフレット0723,18,32–33,電気・内装相談,照明、電気系統、壁紙、網戸、扉、畳などの相談と修理受付,PC11/SP18 保証,説明なし,採用,P27,原資料照合済み。公開時の採用版確認は共通,#catalog-aftercare,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B18.16,パンフレット0723,18,32–33,防犯・清掃・修理,鍵の不具合、室内清掃、修理全般。受付と無償修理を区別,PC11/SP18 保証,説明なし,採用,P27,原資料照合済み。公開時の採用版確認は共通,#catalog-aftercare,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B19.01,パンフレット0723,19,34–35,会社と住まいのメッセージ,水彩住宅・チームの表現とブランドの結び。抽象文の繰り返しを避け実務へ接続,PC02・10/SP02・17,現行水彩を体制の実証写真と扱わない,統合,P01・P25,原資料照合済み。公開時の採用版確認は共通,#catalog-introduction / #catalog-construction,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B19.02,パンフレット0723,19,34–35,水彩画の役割,演出・コンセプト。実際の造成、施工、引渡し済み物件の証拠写真ではない,PC02・10/SP02・17,今回の密度検証画像では採用不要,統合,P32 装飾候補,原資料照合済み。公開時の採用版確認は共通,#catalog-visit,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.01,パンフレット0723,20,36–37,キッチン比較,花STEDIA対面/I型/KT、京STEDIA I型/KT、風ES,PC12/SP19 仕様,現行比較は1行でKTや型の選択が不十分,統合,P28,Q01,#catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.02,パンフレット0723,20,36–37,浴室比較,花T1616/1620、京T1616、風N1616,PC12/SP19 仕様,実比較表なし,統合,P28,Q02,#catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.03,パンフレット0723,20,36–37,洗面比較,共通幅900、花京引き出し、風開き扉,PC12/SP19 仕様,実比較表なし,統合,P28,原資料照合済み。公開時の採用版確認は共通,#catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.04,パンフレット0723,20,36–37,トイレ比較の結合セル,花京の共通1F/2F＋別置き手洗い、風1F/2Fタンク式,PC12/SP19 仕様,「京は手洗いのみ」の二次整理を訂正,統合,P28,Q03,#catalog-compare-water,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.05,パンフレット0723,20,36–37,室内建具比較,花ラシッサD/S、京風スキスムS,PC12/SP19 仕様,実比較表なし,統合,P29,原資料照合済み。公開時の採用版確認は共通,#catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.06,パンフレット0723,20,36–37,床比較,花TY-02D、京アトムジェニック/ラスティック、風アトムフィットGM,PC12/SP19 仕様,実比較表なし,統合,P29,原資料照合済み。公開時の採用版確認は共通,#catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.07,パンフレット0723,20,36–37,畳・タイル共通,ここち和座、4系統のRivieraタイル,PC12/SP19 仕様,共通項目も具体名なし,統合,P29,原資料照合済み。公開時の採用版確認は共通,#catalog-compare-interior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.08,パンフレット0723,20,36–37,玄関ドア比較,花親子＋FACE、京風片開き＋FamiLock,PC12/SP19 仕様,短文はあるが形式と機能の関係が弱い,統合,P30,Q13,#catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.09,パンフレット0723,20,36–37,サッシ比較,花京Low-E、風シャッター併記。本文と照合してLow-E欠如を推定しない,PC12/SP19 仕様,不明点を空欄や×で埋めない,保留,P30,Q05,#catalog-compare-exterior,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
B20.10,パンフレット0723,20,36–37,階段比較,花ラシッサD、京KSGL/STAS、風STAS,PC12/SP19 仕様,階段の説明自体が欠落,採用,P13・P29,Q12,#catalog-doors / #catalog-compare-interior,基礎説明を掲載／追加条件を保留,階段の形・段数・手すり・仕上げを選定する説明。KSGL/STASの正式名称は未確定で非掲載。
B20.11,パンフレット0723,20,36–37,屋根,ニスクカラーPro.。材質・形・面積の標準範囲は旧表だけで確定しない,PC12/SP19 仕様,屋根商品名なし,採用,P18・P30,Q12,#catalog-exterior / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.12,パンフレット0723,20,36–37,外壁・軒天,ヘーベルパワーボード、軒天12の紙面名称。実部材の正式名を確認,PC12/SP19 仕様,共通仕様の詳しい表示なし,統合,P18・P30,Q12,#catalog-exterior / #catalog-compare-exterior,基礎説明を掲載／追加条件を保留,外壁名称と軒天の役割・実写を掲載。軒天12の正式製品名は非掲載。
B20.13,パンフレット0723,20,36–37,雨トユ・門柱,KAKU、ファンクションユニット。門柱の含まれる機能を写真と確認,PC12/SP19 仕様,項目なし,採用,P18・P30,Q12,#catalog-exterior / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.14,パンフレット0723,20,36–37,断熱材,アクアフォームLITE,PC12/SP19 仕様,現行は短文のみ,統合,P22・P30,原資料照合済み。公開時の採用版確認は共通,#catalog-insulation / #catalog-compare-exterior,採用／基礎説明に統合,原資料と選定原稿を対応ページへ反映。条件と選択範囲を近接表示。
B20.15,パンフレット0723,20,36–37,給湯機,エコジョーズ/エコキュート。両方同時標準という意味ではない。エネルギー選択の条件を確認,PC12/SP19 仕様,選択の説明なし,保留,P30・P31,Q12,#catalog-compare-exterior / #catalog-conditions,追加主張を非掲載,機種・数値・契約条件・試験条件の未解決部分は非掲載。関連ページは根拠のある基礎説明を保持。
